winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
GE,0.0,82.0,8.0,21.0,26.0,32.0,2.0,6.0,0.3076923076923077,0.65625,0.17647058823529413,0.8235294117647058,0.6470588235294118,0.8235294117647058
GE,0.0,78.0,7.0,24.0,25.0,33.0,2.0,7.0,0.28,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.8367346938775511,0.7272727272727273
None,0.0,92.0,9.0,20.0,38.0,34.0,3.0,5.0,0.23684210526315788,0.5882352941176471,0.35,0.65,0.7818181818181819,0.65
None,0.0,98.0,8.0,19.0,36.0,37.0,3.0,5.0,0.2222222222222222,0.5135135135135135,0.23809523809523808,0.7619047619047619,0.7222222222222222,0.7619047619047619
GE,0.0,71.0,6.0,23.0,29.0,30.0,2.0,6.0,0.20689655172413793,0.7666666666666667,0.21052631578947367,0.7894736842105263,0.8387096774193549,0.7894736842105263
GE,0.0,85.0,5.0,24.0,24.0,38.0,1.0,7.0,0.20833333333333334,0.631578947368421,0.2631578947368421,0.7368421052631579,0.7241379310344828,0.7368421052631579
GE,0.0,74.0,9.0,24.0,22.0,30.0,3.0,7.0,0.4090909090909091,0.8,0.35,0.65,0.7407407407407407,0.65
None,0.0,93.0,9.0,19.0,34.0,36.0,3.0,5.0,0.2647058823529412,0.5277777777777778,0.3181818181818182,0.6818181818181818,0.0,0.6818181818181818
None,0.0,95.0,11.0,17.0,31.0,35.0,4.0,4.0,0.3548387096774194,0.4857142857142857,0.3888888888888889,0.6111111111111112,0.71875,0.6111111111111112
None,0.0,96.0,7.0,15.0,34.0,36.0,2.0,4.0,0.20588235294117646,0.4166666666666667,0.4375,0.5625,0.5789473684210527,0.5625
GE,0.0,65.0,9.0,17.0,17.0,25.0,3.0,4.0,0.5294117647058824,0.68,0.15384615384615385,0.8461538461538461,0.5909090909090909,0.8461538461538461
None,0.0,99.0,6.0,16.0,47.0,37.0,2.0,4.0,0.1276595744680851,0.43243243243243246,0.2777777777777778,0.7222222222222222,0.8780487804878049,0.7222222222222222
US,0.0,73.0,14.0,12.0,24.0,24.0,5.0,3.0,0.5833333333333334,0.5,0.5,0.5,0.6363636363636364,0.5
None,0.0,80.0,14.0,18.0,30.0,27.0,5.0,4.0,0.4666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7105263157894737,0.6666666666666666
None,0.0,103.0,8.0,19.0,37.0,39.0,2.0,5.0,0.21621621621621623,0.48717948717948717,0.35,0.65,0.7681159420289855,0.65
None,0.0,77.0,11.0,16.0,30.0,27.0,3.0,5.0,0.36666666666666664,0.5925925925925926,0.42105263157894735,0.5789473684210527,0.7894736842105263,0.5789473684210527
GE,0.0,79.0,13.0,19.0,28.0,29.0,4.0,5.0,0.4642857142857143,0.6551724137931034,0.3157894736842105,0.6842105263157895,0.5862068965517241,0.6842105263157895
None,0.0,91.0,10.0,14.0,30.0,32.0,4.0,3.0,0.3333333333333333,0.4375,0.375,0.625,0.723404255319149,0.625
None,0.0,88.0,9.0,19.0,27.0,35.0,3.0,4.0,0.3333333333333333,0.5428571428571428,0.2631578947368421,0.7368421052631579,0.7017543859649122,0.7368421052631579
