winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
GE,0.0,50.0,13.0,24.0,14.0,13.0,4.0,7.0,0.9285714285714286,1.8461538461538463,0.45,0.55,0.0,0.55
US,0.0,62.0,14.0,23.0,22.0,17.0,5.0,6.0,0.6363636363636364,1.3529411764705883,0.4583333333333333,0.5416666666666666,0.375,0.5416666666666666
GE,0.0,49.0,9.0,24.0,15.0,15.0,2.0,7.0,0.6,1.6,0.35294117647058826,0.6470588235294118,0.0,0.6470588235294118
US,0.0,56.0,14.0,18.0,16.0,17.0,5.0,5.0,0.875,1.0588235294117647,0.4444444444444444,0.5555555555555556,0.6,0.5555555555555556
GE,0.0,53.0,6.0,24.0,11.0,18.0,1.0,7.0,0.5454545454545454,1.3333333333333333,0.29411764705882354,0.7058823529411765,0.0,0.7058823529411765
GE,0.0,54.0,6.0,24.0,8.0,19.0,2.0,7.0,0.75,1.263157894736842,0.2222222222222222,0.7777777777777778,0.5,0.7777777777777778
GE,0.0,57.0,6.0,24.0,19.0,22.0,1.0,7.0,0.3157894736842105,1.0909090909090908,0.25,0.75,0.5,0.75
GE,0.0,48.0,8.0,24.0,10.0,19.0,1.0,7.0,0.8,1.263157894736842,0.29411764705882354,0.7058823529411765,0.0,0.7058823529411765
US,0.0,57.0,14.0,22.0,18.0,14.0,5.0,6.0,0.7777777777777778,1.5714285714285714,0.43478260869565216,0.5652173913043478,0.5652173913043478,0.5652173913043478
GE,0.0,54.0,13.0,24.0,14.0,14.0,4.0,7.0,0.9285714285714286,1.7142857142857142,0.4583333333333333,0.5416666666666666,0.5833333333333334,0.5416666666666666
US,0.0,65.0,14.0,23.0,16.0,18.0,5.0,6.0,0.875,1.2777777777777777,0.30434782608695654,0.6956521739130435,0.2222222222222222,0.6956521739130435
GE,0.0,52.0,8.0,24.0,6.0,15.0,2.0,7.0,1.3333333333333333,1.6,0.3333333333333333,0.6666666666666666,0.36363636363636365,0.6666666666666666
GE,0.0,55.0,11.0,24.0,16.0,20.0,3.0,7.0,0.6875,1.2,0.44,0.56,0.0,0.56
US,0.0,58.0,14.0,20.0,18.0,16.0,5.0,5.0,0.7777777777777778,1.25,0.5,0.5,0.3333333333333333,0.5
US,0.0,52.0,14.0,13.0,18.0,16.0,5.0,3.0,0.7777777777777778,0.8125,0.5,0.5,0.0,0.5
US,0.0,45.0,14.0,15.0,17.0,10.0,5.0,4.0,0.8235294117647058,1.5,0.5882352941176471,0.4117647058823529,0.0,0.4117647058823529
None,0.0,67.0,11.0,20.0,14.0,19.0,4.0,6.0,0.7857142857142857,1.0526315789473684,0.3888888888888889,0.6111111111111112,0.0,0.6111111111111112
US,0.0,50.0,14.0,20.0,12.0,14.0,5.0,6.0,1.1666666666666667,1.4285714285714286,0.42105263157894735,0.5789473684210527,0.5,0.5789473684210527
GE,0.0,59.0,8.0,24.0,14.0,17.0,2.0,7.0,0.5714285714285714,1.411764705882353,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666
US,0.0,50.0,14.0,13.0,12.0,15.0,5.0,3.0,1.1666666666666667,0.8666666666666667,0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556
US,0.0,60.0,14.0,17.0,19.0,18.0,5.0,4.0,0.7368421052631579,0.9444444444444444,0.5,0.5,0.0,0.5
US,0.0,61.0,14.0,21.0,13.0,16.0,5.0,6.0,1.0769230769230769,1.3125,0.4,0.6,0.14285714285714285,0.6
US,0.0,58.0,14.0,7.0,17.0,13.0,5.0,1.0,0.8235294117647058,0.5384615384615384,0.6363636363636364,0.36363636363636365,0.0,0.36363636363636365
GE,0.0,57.0,11.0,24.0,10.0,16.0,3.0,7.0,1.1,1.5,0.38095238095238093,0.6190476190476191,0.42857142857142855,0.6190476190476191
GE,0.0,55.0,11.0,24.0,11.0,19.0,2.0,7.0,1.0,1.263157894736842,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666666
GE,0.0,66.0,11.0,24.0,15.0,18.0,4.0,7.0,0.7333333333333333,1.3333333333333333,0.4,0.6,0.3333333333333333,0.6
US,0.0,67.0,14.0,20.0,12.0,19.0,5.0,6.0,1.1666666666666667,1.0526315789473684,0.391304347826087,0.6086956521739131,0.34782608695652173,0.6086956521739131
US,0.0,52.0,14.0,21.0,16.0,16.0,5.0,6.0,0.875,1.3125,0.42105263157894735,0.5789473684210527,0.5833333333333334,0.5789473684210527
US,0.0,61.0,14.0,18.0,14.0,16.0,5.0,4.0,1.0,1.125,0.45,0.55,0.0,0.55
US,0.0,64.0,14.0,20.0,19.0,16.0,5.0,6.0,0.7368421052631579,1.25,0.4444444444444444,0.5555555555555556,0.2,0.5555555555555556
GE,0.0,43.0,3.0,24.0,7.0,16.0,0.0,7.0,0.42857142857142855,1.5,0.2,0.8,0.0,0.8
US,0.0,70.0,14.0,18.0,19.0,20.0,5.0,5.0,0.7368421052631579,0.9,0.5238095238095238,0.47619047619047616,0.4,0.47619047619047616
US,0.0,42.0,14.0,19.0,14.0,12.0,5.0,5.0,1.0,1.5833333333333333,0.42857142857142855,0.5714285714285714,0.0,0.5714285714285714
GE,0.0,50.0,4.0,24.0,10.0,16.0,1.0,7.0,0.4,1.5,0.2,0.8,0.6666666666666666,0.8
GE,0.0,49.0,11.0,24.0,16.0,16.0,3.0,7.0,0.6875,1.5,0.38095238095238093,0.6190476190476191,0.0,0.6190476190476191
GE,0.0,55.0,9.0,24.0,13.0,16.0,3.0,7.0,0.6923076923076923,1.5,0.35294117647058826,0.6470588235294118,0.6666666666666666,0.6470588235294118
US,0.0,28.0,14.0,11.0,10.0,8.0,5.0,2.0,1.4,1.375,0.6153846153846154,0.38461538461538464,0.0,0.38461538461538464
US,0.0,57.0,14.0,20.0,16.0,14.0,5.0,6.0,0.875,1.4285714285714286,0.45,0.55,0.0,0.55
GE,0.0,63.0,12.0,24.0,17.0,21.0,3.0,7.0,0.7058823529411765,1.1428571428571428,0.4090909090909091,0.5909090909090909,0.6666666666666666,0.5909090909090909
GE,0.0,57.0,7.0,24.0,9.0,19.0,2.0,7.0,0.7777777777777778,1.263157894736842,0.2631578947368421,0.7368421052631579,0.4117647058823529,0.7368421052631579
