winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
GE,0.0,68.0,11.0,24.0,18.0,24.0,4.0,7.0,0.6111111111111112,1.0,0.2608695652173913,0.7391304347826086,0.7,0.7391304347826086
US,0.0,78.0,14.0,19.0,27.0,26.0,5.0,4.0,0.5185185185185185,0.7307692307692307,0.47619047619047616,0.5238095238095238,0.7580645161290323,0.5238095238095238
US,0.0,54.0,14.0,19.0,16.0,19.0,5.0,5.0,0.875,1.0,0.3888888888888889,0.6111111111111112,0.7428571428571429,0.6111111111111112
US,0.0,76.0,14.0,19.0,16.0,24.0,5.0,5.0,0.875,0.7916666666666666,0.42105263157894735,0.5789473684210527,0.5666666666666667,0.5789473684210527
US,0.0,83.0,14.0,12.0,15.0,24.0,5.0,4.0,0.9333333333333333,0.5,0.4666666666666667,0.5333333333333333,0.6578947368421053,0.5333333333333333
US,0.0,93.0,14.0,17.0,16.0,26.0,5.0,4.0,0.875,0.6538461538461539,0.47619047619047616,0.5238095238095238,0.4675324675324675,0.5238095238095238
US,0.0,65.0,14.0,16.0,16.0,18.0,5.0,5.0,0.875,0.8888888888888888,0.5294117647058824,0.47058823529411764,0.6341463414634146,0.47058823529411764
US,0.0,60.0,14.0,12.0,18.0,18.0,5.0,4.0,0.7777777777777778,0.6666666666666666,0.5882352941176471,0.4117647058823529,0.6744186046511628,0.4117647058823529
US,0.0,90.0,14.0,17.0,23.0,26.0,5.0,5.0,0.6086956521739131,0.6538461538461539,0.42857142857142855,0.5714285714285714,0.5753424657534246,0.5714285714285714
US,0.0,86.0,14.0,16.0,17.0,28.0,5.0,4.0,0.8235294117647058,0.5714285714285714,0.3888888888888889,0.6111111111111112,0.5555555555555556,0.6111111111111112
None,0.0,84.0,11.0,20.0,16.0,27.0,4.0,5.0,0.6875,0.7407407407407407,0.3684210526315789,0.631578947368421,0.5507246376811594,0.631578947368421
None,0.0,95.0,13.0,15.0,32.0,28.0,4.0,3.0,0.40625,0.5357142857142857,0.47368421052631576,0.5263157894736842,0.8333333333333334,0.5263157894736842
None,0.0,83.0,11.0,19.0,15.0,27.0,4.0,5.0,0.7333333333333333,0.7037037037037037,0.2777777777777778,0.7222222222222222,0.5925925925925926,0.7222222222222222
US,0.0,84.0,14.0,18.0,31.0,28.0,5.0,5.0,0.45161290322580644,0.6428571428571429,0.45454545454545453,0.5454545454545454,0.7910447761194029,0.5454545454545454
US,0.0,70.0,14.0,17.0,19.0,23.0,5.0,5.0,0.7368421052631579,0.7391304347826086,0.5,0.5,0.6730769230769231,0.5
US,0.0,63.0,14.0,19.0,19.0,20.0,5.0,5.0,0.7368421052631579,0.95,0.4782608695652174,0.5217391304347826,0.7021276595744681,0.5217391304347826
US,0.0,68.0,14.0,13.0,23.0,22.0,5.0,4.0,0.6086956521739131,0.5909090909090909,0.5294117647058824,0.47058823529411764,0.7547169811320755,0.47058823529411764
US,0.0,65.0,14.0,15.0,16.0,21.0,5.0,4.0,0.875,0.7142857142857143,0.4117647058823529,0.5882352941176471,0.6666666666666666,0.5882352941176471
US,0.0,85.0,14.0,14.0,21.0,24.0,5.0,3.0,0.6666666666666666,0.5833333333333334,0.47368421052631576,0.5263157894736842,0.578125,0.5263157894736842
None,0.0,95.0,11.0,14.0,18.0,32.0,4.0,4.0,0.6111111111111112,0.4375,0.3684210526315789,0.631578947368421,0.5625,0.631578947368421
None,0.0,87.0,10.0,21.0,32.0,28.0,3.0,5.0,0.3125,0.75,0.3181818181818182,0.6818181818181818,0.7638888888888888,0.6818181818181818
US,0.0,52.0,14.0,17.0,15.0,18.0,5.0,5.0,0.9333333333333333,0.9444444444444444,0.47058823529411764,0.5294117647058824,0.7567567567567568,0.5294117647058824
None,0.0,86.0,11.0,21.0,32.0,29.0,4.0,6.0,0.34375,0.7241379310344828,0.375,0.625,0.8208955223880597,0.625
US,0.0,59.0,14.0,16.0,16.0,17.0,5.0,3.0,0.875,0.9411764705882353,0.45,0.55,0.6578947368421053,0.55
US,0.0,83.0,14.0,12.0,18.0,23.0,5.0,3.0,0.7777777777777778,0.5217391304347826,0.5,0.5,0.5223880597014925,0.5
US,0.0,64.0,14.0,22.0,18.0,19.0,5.0,5.0,0.7777777777777778,1.1578947368421053,0.4,0.6,0.6590909090909091,0.6
US,0.0,69.0,14.0,23.0,22.0,21.0,5.0,6.0,0.6363636363636364,1.0952380952380953,0.43478260869565216,0.5652173913043478,0.6923076923076923,0.5652173913043478
US,0.0,76.0,14.0,20.0,15.0,22.0,5.0,6.0,0.9333333333333333,0.9090909090909091,0.3333333333333333,0.6666666666666666,0.5294117647058824,0.6666666666666666
US,0.0,72.0,14.0,17.0,16.0,24.0,5.0,4.0,0.875,0.7083333333333334,0.42105263157894735,0.5789473684210527,0.6071428571428571,0.5789473684210527
US,0.0,76.0,14.0,17.0,20.0,21.0,5.0,5.0,0.7,0.8095238095238095,0.4,0.6,0.6666666666666666,0.6
US,0.0,79.0,14.0,17.0,20.0,25.0,5.0,4.0,0.7,0.68,0.4,0.6,0.6190476190476191,0.6
US,0.0,100.0,14.0,16.0,20.0,31.0,5.0,3.0,0.7,0.5161290322580645,0.4444444444444444,0.5555555555555556,0.5432098765432098,0.5555555555555556
US,0.0,75.0,14.0,15.0,29.0,24.0,5.0,4.0,0.4827586206896552,0.625,0.6,0.4,0.8245614035087719,0.4
US,0.0,55.0,14.0,18.0,17.0,17.0,5.0,5.0,0.8235294117647058,1.0588235294117647,0.5,0.5,0.7368421052631579,0.5
None,0.0,81.0,13.0,19.0,31.0,31.0,4.0,5.0,0.41935483870967744,0.6129032258064516,0.4,0.6,0.8656716417910447,0.6
None,0.0,92.0,13.0,20.0,10.0,26.0,4.0,6.0,1.3,0.7692307692307693,0.42105263157894735,0.5789473684210527,0.4666666666666667,0.5789473684210527
US,0.0,69.0,14.0,15.0,17.0,21.0,5.0,3.0,0.8235294117647058,0.7142857142857143,0.45,0.55,0.5961538461538461,0.55
None,0.0,78.0,10.0,23.0,28.0,31.0,2.0,6.0,0.35714285714285715,0.7419354838709677,0.2857142857142857,0.7142857142857143,0.8461538461538461,0.7142857142857143
None,0.0,88.0,12.0,16.0,35.0,32.0,4.0,5.0,0.34285714285714286,0.5,0.42857142857142855,0.5714285714285714,0.8472222222222222,0.5714285714285714
US,0.0,58.0,14.0,14.0,17.0,19.0,5.0,3.0,0.8235294117647058,0.7368421052631579,0.42105263157894735,0.5789473684210527,0.7142857142857143,0.5789473684210527
US,0.0,56.0,14.0,13.0,19.0,18.0,5.0,3.0,0.7368421052631579,0.7222222222222222,0.5333333333333333,0.4666666666666667,0.7804878048780488,0.4666666666666667
US,0.0,82.0,14.0,18.0,21.0,24.0,5.0,5.0,0.6666666666666666,0.75,0.47619047619047616,0.5238095238095238,0.5909090909090909,0.5238095238095238
US,0.0,67.0,14.0,16.0,17.0,19.0,5.0,4.0,0.8235294117647058,0.8421052631578947,0.45,0.55,0.6304347826086957,0.55
US,0.0,56.0,14.0,10.0,18.0,17.0,5.0,2.0,0.7777777777777778,0.5882352941176471,0.5625,0.4375,0.725,0.4375
None,0.0,90.0,13.0,16.0,25.0,31.0,4.0,4.0,0.52,0.5161290322580645,0.47368421052631576,0.5263157894736842,0.8490566037735849,0.5263157894736842
None,0.0,79.0,12.0,20.0,30.0,28.0,3.0,6.0,0.4,0.7142857142857143,0.34615384615384615,0.6538461538461539,0.828125,0.6538461538461539
US,0.0,69.0,14.0,12.0,14.0,21.0,5.0,3.0,1.0,0.5714285714285714,0.47058823529411764,0.5294117647058824,0.5471698113207547,0.5294117647058824
US,0.0,57.0,14.0,16.0,17.0,15.0,5.0,4.0,0.8235294117647058,1.0666666666666667,0.5625,0.4375,0.6341463414634146,0.4375
US,0.0,70.0,14.0,21.0,20.0,20.0,5.0,6.0,0.7,1.05,0.45,0.55,0.6808510638297872,0.55
None,0.0,94.0,9.0,18.0,28.0,31.0,3.0,5.0,0.32142857142857145,0.5806451612903226,0.3888888888888889,0.6111111111111112,0.7123287671232876,0.6111111111111112
None,0.0,73.0,13.0,16.0,25.0,27.0,4.0,5.0,0.52,0.5925925925925926,0.5294117647058824,0.47058823529411764,0.8135593220338984,0.47058823529411764
GE,0.0,53.0,6.0,24.0,15.0,23.0,2.0,7.0,0.4,1.0434782608695652,0.23529411764705882,0.7647058823529411,0.84375,0.7647058823529411
None,0.0,100.0,11.0,14.0,40.0,33.0,4.0,3.0,0.275,0.42424242424242425,0.5,0.5,0.9014084507042254,0.5
US,0.0,71.0,14.0,18.0,18.0,23.0,5.0,5.0,0.7777777777777778,0.782608695652174,0.42105263157894735,0.5789473684210527,0.6363636363636364,0.5789473684210527
None,0.0,84.0,13.0,19.0,15.0,26.0,4.0,5.0,0.8666666666666667,0.7307692307692307,0.3333333333333333,0.6666666666666666,0.5384615384615384,0.6666666666666666
None,0.0,93.0,11.0,23.0,29.0,28.0,4.0,6.0,0.3793103448275862,0.8214285714285714,0.2857142857142857,0.7142857142857143,0.6486486486486487,0.7142857142857143
GE,0.0,59.0,11.0,24.0,19.0,19.0,4.0,7.0,0.5789473684210527,1.263157894736842,0.3,0.7,0.7380952380952381,0.7
None,0.0,93.0,11.0,20.0,17.0,28.0,4.0,6.0,0.6470588235294118,0.7142857142857143,0.3,0.7,0.5205479452054794,0.7
US,0.0,86.0,14.0,15.0,34.0,27.0,5.0,4.0,0.4117647058823529,0.5555555555555556,0.5,0.5,0.8059701492537313,0.5
US,0.0,67.0,14.0,19.0,14.0,19.0,5.0,5.0,1.0,1.0,0.4,0.6,0.5952380952380952,0.6
US,0.0,81.0,14.0,15.0,10.0,25.0,5.0,4.0,1.4,0.6,0.42105263157894735,0.5789473684210527,0.5,0.5789473684210527
None,0.0,71.0,12.0,20.0,21.0,26.0,4.0,6.0,0.5714285714285714,0.7692307692307693,0.38095238095238093,0.6190476190476191,0.7254901960784313,0.6190476190476191
None,0.0,83.0,12.0,22.0,33.0,30.0,3.0,5.0,0.36363636363636365,0.7333333333333333,0.36,0.64,0.8307692307692308,0.64
US,0.0,83.0,14.0,16.0,19.0,24.0,5.0,4.0,0.7368421052631579,0.6666666666666666,0.4,0.6,0.6595744680851063,0.6
US,0.0,71.0,14.0,19.0,25.0,26.0,5.0,5.0,0.56,0.7307692307692307,0.47619047619047616,0.5238095238095238,0.8214285714285714,0.5238095238095238
None,0.0,91.0,11.0,20.0,18.0,30.0,4.0,6.0,0.6111111111111112,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5657894736842105,0.6666666666666666
US,0.0,79.0,14.0,16.0,24.0,23.0,5.0,3.0,0.5833333333333334,0.6956521739130435,0.4090909090909091,0.5909090909090909,0.6896551724137931,0.5909090909090909
GE,0.0,72.0,9.0,24.0,24.0,28.0,3.0,7.0,0.375,0.8571428571428571,0.34782608695652173,0.6521739130434783,0.8245614035087719,0.6521739130434783
US,0.0,75.0,14.0,22.0,24.0,24.0,5.0,6.0,0.5833333333333334,0.9166666666666666,0.4166666666666667,0.5833333333333334,0.7017543859649122,0.5833333333333334
US,0.0,63.0,14.0,16.0,17.0,19.0,5.0,4.0,0.8235294117647058,0.8421052631578947,0.47058823529411764,0.5294117647058824,0.6744186046511628,0.5294117647058824
None,0.0,92.0,13.0,16.0,17.0,28.0,4.0,4.0,0.7647058823529411,0.5714285714285714,0.4444444444444444,0.5555555555555556,0.5342465753424658,0.5555555555555556
US,0.0,77.0,14.0,15.0,31.0,23.0,5.0,3.0,0.45161290322580644,0.6521739130434783,0.47058823529411764,0.5294117647058824,0.8245614035087719,0.5294117647058824
None,0.0,92.0,11.0,18.0,18.0,31.0,4.0,5.0,0.6111111111111112,0.5806451612903226,0.36363636363636365,0.6363636363636364,0.6428571428571429,0.6363636363636364
GE,0.0,61.0,9.0,24.0,18.0,23.0,2.0,7.0,0.5,1.0434782608695652,0.3,0.7,0.7777777777777778,0.7
US,0.0,57.0,14.0,17.0,18.0,17.0,5.0,5.0,0.7777777777777778,1.0,0.45454545454545453,0.5454545454545454,0.7142857142857143,0.5454545454545454
US,0.0,70.0,14.0,13.0,9.0,19.0,5.0,3.0,1.5555555555555556,0.6842105263157895,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666
US,0.0,60.0,14.0,18.0,16.0,20.0,5.0,5.0,0.875,0.9,0.42105263157894735,0.5789473684210527,0.6976744186046512,0.5789473684210527
US,0.0,79.0,14.0,17.0,29.0,26.0,5.0,4.0,0.4827586206896552,0.6538461538461539,0.5238095238095238,0.47619047619047616,0.7777777777777778,0.47619047619047616
US,0.0,79.0,14.0,19.0,19.0,28.0,5.0,5.0,0.7368421052631579,0.6785714285714286,0.42857142857142855,0.5714285714285714,0.6862745098039216,0.5714285714285714
None,0.0,84.0,11.0,20.0,19.0,27.0,4.0,6.0,0.5789473684210527,0.7407407407407407,0.2727272727272727,0.7272727272727273,0.5942028985507246,0.7272727272727273
GE,0.0,74.0,11.0,24.0,21.0,26.0,4.0,7.0,0.5238095238095238,0.9230769230769231,0.35,0.65,0.7450980392156863,0.65
None,0.0,85.0,11.0,20.0,25.0,28.0,4.0,5.0,0.44,0.7142857142857143,0.35,0.65,0.7014925373134329,0.65
US,0.0,63.0,14.0,16.0,14.0,18.0,5.0,4.0,1.0,0.8888888888888888,0.5,0.5,0.6470588235294118,0.5
US,0.0,81.0,14.0,16.0,14.0,23.0,5.0,4.0,1.0,0.6956521739130435,0.42105263157894735,0.5789473684210527,0.47692307692307695,0.5789473684210527
US,0.0,85.0,14.0,8.0,26.0,25.0,5.0,1.0,0.5384615384615384,0.32,0.6,0.4,0.6521739130434783,0.4
US,0.0,89.0,14.0,12.0,22.0,28.0,5.0,1.0,0.6363636363636364,0.42857142857142855,0.5789473684210527,0.42105263157894735,0.6027397260273972,0.42105263157894735
None,0.0,95.0,9.0,19.0,22.0,31.0,3.0,5.0,0.4090909090909091,0.6129032258064516,0.3684210526315789,0.631578947368421,0.6666666666666666,0.631578947368421
None,0.0,98.0,8.0,18.0,44.0,37.0,2.0,4.0,0.18181818181818182,0.4864864864864865,0.3333333333333333,0.6666666666666666,0.9156626506024096,0.6666666666666666
None,0.0,79.0,12.0,18.0,19.0,25.0,4.0,5.0,0.631578947368421,0.72,0.3333333333333333,0.6666666666666666,0.6333333333333333,0.6666666666666666
US,0.0,76.0,14.0,16.0,11.0,23.0,5.0,4.0,1.2727272727272727,0.6956521739130435,0.42105263157894735,0.5789473684210527,0.4666666666666667,0.5789473684210527
GE,0.0,66.0,11.0,24.0,20.0,24.0,4.0,7.0,0.55,1.0,0.23529411764705882,0.7647058823529411,0.7551020408163265,0.7647058823529411
None,0.0,69.0,9.0,23.0,20.0,31.0,3.0,6.0,0.45,0.7419354838709677,0.2631578947368421,0.7368421052631579,0.8,0.7368421052631579
US,0.0,62.0,14.0,18.0,16.0,20.0,5.0,5.0,0.875,0.9,0.45,0.55,0.6590909090909091,0.55
None,0.0,92.0,11.0,19.0,21.0,28.0,4.0,5.0,0.5238095238095238,0.6785714285714286,0.34782608695652173,0.6521739130434783,0.660377358490566,0.6521739130434783
None,0.0,81.0,12.0,21.0,19.0,26.0,4.0,5.0,0.631578947368421,0.8076923076923077,0.36363636363636365,0.6363636363636364,0.6290322580645161,0.6363636363636364
US,0.0,66.0,14.0,17.0,24.0,20.0,5.0,5.0,0.5833333333333334,0.85,0.4444444444444444,0.5555555555555556,0.7872340425531915,0.5555555555555556
None,0.0,90.0,10.0,23.0,23.0,30.0,3.0,6.0,0.43478260869565216,0.7666666666666667,0.35,0.65,0.64,0.65
US,0.0,92.0,14.0,19.0,37.0,31.0,5.0,5.0,0.3783783783783784,0.6129032258064516,0.391304347826087,0.6086956521739131,0.8356164383561644,0.6086956521739131
None,0.0,68.0,13.0,18.0,24.0,26.0,4.0,5.0,0.5416666666666666,0.6923076923076923,0.45,0.55,0.8181818181818182,0.55
None,0.0,90.0,12.0,15.0,35.0,31.0,4.0,4.0,0.34285714285714286,0.4838709677419355,0.4117647058823529,0.5882352941176471,0.8133333333333334,0.5882352941176471
