winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
GE,6.0,96.0,19.0,4.0,25.0,17.0,5.0,1.0,0.76,0.23529411764705882,0.8461538461538461,0.15384615384615385,0.42857142857142855,0.15384615384615385
GE,6.0,101.0,16.0,6.0,28.0,15.0,5.0,1.0,0.5714285714285714,0.4,0.75,0.25,0.0,0.25
GE,6.0,95.0,23.0,2.0,29.0,18.0,6.0,0.0,0.7931034482758621,0.1111111111111111,0.9,0.1,0.0,0.1
GE,6.0,103.0,20.0,6.0,34.0,27.0,4.0,1.0,0.5882352941176471,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
GE,6.0,108.0,20.0,2.0,36.0,21.0,4.0,0.0,0.5555555555555556,0.09523809523809523,0.8823529411764706,0.11764705882352941,0.0,0.11764705882352941
GE,6.0,99.0,21.0,4.0,28.0,17.0,5.0,1.0,0.75,0.23529411764705882,0.875,0.125,0.5,0.125
GE,6.0,96.0,23.0,3.0,30.0,18.0,6.0,0.0,0.7666666666666667,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
GE,6.0,105.0,19.0,6.0,34.0,26.0,4.0,1.0,0.5588235294117647,0.23076923076923078,0.7,0.3,0.0,0.3
GE,6.0,92.0,23.0,3.0,23.0,14.0,6.0,1.0,1.0,0.21428571428571427,0.8125,0.1875,0.0,0.1875
None,6.0,100.0,24.0,3.0,35.0,16.0,7.0,0.0,0.6857142857142857,0.1875,0.8421052631578947,0.15789473684210525,0.0,0.15789473684210525
None,6.0,93.0,24.0,1.0,27.0,15.0,7.0,0.0,0.8888888888888888,0.06666666666666667,0.9444444444444444,0.05555555555555555,0.0,0.05555555555555555
None,6.0,91.0,24.0,1.0,31.0,17.0,7.0,0.0,0.7741935483870968,0.058823529411764705,0.9375,0.0625,0.0,0.0625
GE,6.0,108.0,21.0,2.0,38.0,20.0,5.0,0.0,0.5526315789473685,0.1,0.9375,0.0625,0.0,0.0625
None,6.0,91.0,24.0,2.0,27.0,14.0,7.0,0.0,0.8888888888888888,0.14285714285714285,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111
None,6.0,95.0,24.0,0.0,29.0,19.0,7.0,0.0,0.8275862068965517,0.0,1.0,0.0,0.0,0.0
GE,6.0,95.0,23.0,4.0,27.0,19.0,6.0,1.0,0.8518518518518519,0.21052631578947367,0.8235294117647058,0.17647058823529413,0.0,0.17647058823529413
None,6.0,84.0,24.0,1.0,24.0,13.0,7.0,0.0,1.0,0.07692307692307693,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667
GE,6.0,94.0,20.0,4.0,30.0,16.0,5.0,1.0,0.6666666666666666,0.25,0.7692307692307693,0.23076923076923078,0.0,0.23076923076923078
None,6.0,84.0,24.0,0.0,28.0,11.0,7.0,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0
None,6.0,87.0,24.0,2.0,27.0,18.0,7.0,0.0,0.8888888888888888,0.1111111111111111,0.875,0.125,0.0,0.125
GE,6.0,96.0,14.0,7.0,30.0,23.0,4.0,2.0,0.4666666666666667,0.30434782608695654,0.6875,0.3125,0.5833333333333334,0.3125
None,6.0,103.0,24.0,1.0,33.0,19.0,7.0,0.0,0.7272727272727273,0.05263157894736842,0.9444444444444444,0.05555555555555555,0.0,0.05555555555555555
None,6.0,97.0,24.0,0.0,35.0,19.0,7.0,0.0,0.6857142857142857,0.0,1.0,0.0,0.0,0.0
GE,6.0,105.0,20.0,3.0,34.0,21.0,4.0,0.0,0.5882352941176471,0.14285714285714285,0.8125,0.1875,0.0,0.1875
GE,6.0,101.0,23.0,4.0,31.0,17.0,6.0,1.0,0.7419354838709677,0.23529411764705882,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222
GE,6.0,89.0,21.0,3.0,28.0,11.0,6.0,1.0,0.75,0.2727272727272727,0.8,0.2,0.0,0.2
None,6.0,95.0,24.0,3.0,32.0,17.0,7.0,0.0,0.75,0.17647058823529413,0.875,0.125,0.0,0.125
None,6.0,90.0,24.0,0.0,23.0,15.0,7.0,0.0,1.0434782608695652,0.0,1.0,0.0,0.0,0.0
None,6.0,89.0,24.0,5.0,31.0,18.0,7.0,1.0,0.7741935483870968,0.2777777777777778,0.8125,0.1875,0.5,0.1875
None,6.0,106.0,24.0,1.0,34.0,19.0,7.0,0.0,0.7058823529411765,0.05263157894736842,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667
None,6.0,83.0,24.0,0.0,22.0,9.0,7.0,0.0,1.0909090909090908,0.0,1.0,0.0,0.0,0.0
None,6.0,100.0,24.0,2.0,30.0,20.0,7.0,0.0,0.8,0.1,0.8823529411764706,0.11764705882352941,0.0,0.11764705882352941
GE,6.0,105.0,21.0,4.0,30.0,23.0,6.0,1.0,0.7,0.17391304347826086,0.8421052631578947,0.15789473684210525,0.0,0.15789473684210525
GE,6.0,89.0,23.0,3.0,28.0,17.0,6.0,0.0,0.8214285714285714,0.17647058823529413,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
GE,6.0,101.0,23.0,2.0,32.0,18.0,6.0,0.0,0.71875,0.1111111111111111,0.8947368421052632,0.10526315789473684,0.0,0.10526315789473684
GE,6.0,98.0,21.0,5.0,31.0,19.0,6.0,1.0,0.6774193548387096,0.2631578947368421,0.7333333333333333,0.26666666666666666,0.5,0.26666666666666666
GE,6.0,89.0,21.0,1.0,25.0,14.0,6.0,0.0,0.84,0.07142857142857142,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667
None,6.0,84.0,24.0,0.0,23.0,10.0,7.0,0.0,1.0434782608695652,0.0,1.0,0.0,0.0,0.0
None,6.0,88.0,24.0,1.0,25.0,11.0,7.0,0.0,0.96,0.09090909090909091,0.9375,0.0625,0.0,0.0625
None,6.0,99.0,24.0,0.0,31.0,21.0,7.0,0.0,0.7741935483870968,0.0,1.0,0.0,0.0,0.0
GE,6.0,97.0,20.0,4.0,29.0,15.0,5.0,1.0,0.6896551724137931,0.26666666666666666,0.8235294117647058,0.17647058823529413,0.0,0.17647058823529413
GE,6.0,100.0,19.0,4.0,26.0,18.0,5.0,1.0,0.7307692307692307,0.2222222222222222,0.8235294117647058,0.17647058823529413,0.375,0.17647058823529413
GE,6.0,99.0,23.0,3.0,29.0,23.0,6.0,1.0,0.7931034482758621,0.13043478260869565,0.8666666666666667,0.13333333333333333,0.0,0.13333333333333333
None,6.0,99.0,24.0,1.0,30.0,21.0,7.0,0.0,0.8,0.047619047619047616,0.9375,0.0625,0.0,0.0625
GE,6.0,99.0,18.0,4.0,31.0,14.0,4.0,1.0,0.5806451612903226,0.2857142857142857,0.7647058823529411,0.23529411764705882,0.0,0.23529411764705882
GE,6.0,98.0,23.0,1.0,31.0,18.0,6.0,0.0,0.7419354838709677,0.05555555555555555,0.9411764705882353,0.058823529411764705,0.0,0.058823529411764705
GE,6.0,92.0,23.0,5.0,25.0,17.0,6.0,1.0,0.92,0.29411764705882354,0.7894736842105263,0.21052631578947367,0.0,0.21052631578947367
GE,6.0,110.0,20.0,1.0,34.0,26.0,4.0,0.0,0.5882352941176471,0.038461538461538464,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333
GE,6.0,104.0,18.0,3.0,29.0,23.0,5.0,1.0,0.6206896551724138,0.13043478260869565,0.8461538461538461,0.15384615384615385,0.0,0.15384615384615385
None,6.0,97.0,24.0,0.0,35.0,22.0,7.0,0.0,0.6857142857142857,0.0,1.0,0.0,0.0,0.0
None,6.0,86.0,24.0,0.0,23.0,10.0,7.0,0.0,1.0434782608695652,0.0,1.0,0.0,0.0,0.0
GE,6.0,111.0,18.0,3.0,32.0,30.0,5.0,0.0,0.5625,0.1,0.8,0.2,0.0,0.2
GE,6.0,100.0,21.0,5.0,34.0,24.0,4.0,1.0,0.6176470588235294,0.20833333333333334,0.7222222222222222,0.2777777777777778,0.0,0.2777777777777778
GE,6.0,98.0,21.0,3.0,28.0,17.0,6.0,1.0,0.75,0.17647058823529413,0.7857142857142857,0.21428571428571427,0.0,0.21428571428571427
None,6.0,98.0,24.0,1.0,28.0,18.0,7.0,0.0,0.8571428571428571,0.05555555555555555,0.9230769230769231,0.07692307692307693,0.0,0.07692307692307693
GE,6.0,116.0,17.0,5.0,40.0,30.0,4.0,1.0,0.425,0.16666666666666666,0.7647058823529411,0.23529411764705882,0.0,0.23529411764705882
GE,6.0,105.0,21.0,2.0,39.0,28.0,5.0,0.0,0.5384615384615384,0.07142857142857142,0.8823529411764706,0.11764705882352941,0.0,0.11764705882352941
GE,6.0,104.0,20.0,4.0,36.0,21.0,5.0,1.0,0.5555555555555556,0.19047619047619047,0.8235294117647058,0.17647058823529413,0.0,0.17647058823529413
GE,6.0,83.0,21.0,4.0,22.0,13.0,6.0,1.0,0.9545454545454546,0.3076923076923077,0.7647058823529411,0.23529411764705882,0.0,0.23529411764705882
None,6.0,87.0,24.0,2.0,28.0,15.0,7.0,0.0,0.8571428571428571,0.13333333333333333,0.8823529411764706,0.11764705882352941,0.0,0.11764705882352941
None,6.0,99.0,24.0,1.0,31.0,18.0,7.0,0.0,0.7741935483870968,0.05555555555555555,0.9473684210526315,0.05263157894736842,0.0,0.05263157894736842
GE,6.0,96.0,20.0,4.0,26.0,20.0,6.0,1.0,0.7692307692307693,0.2,0.75,0.25,0.0,0.25
GE,6.0,112.0,22.0,4.0,39.0,30.0,5.0,0.0,0.5641025641025641,0.13333333333333333,0.8421052631578947,0.15789473684210525,0.0,0.15789473684210525
GE,6.0,93.0,19.0,3.0,29.0,23.0,5.0,1.0,0.6551724137931034,0.13043478260869565,0.8666666666666667,0.13333333333333333,0.5555555555555556,0.13333333333333333
GE,6.0,97.0,20.0,5.0,27.0,20.0,6.0,1.0,0.7407407407407407,0.25,0.7647058823529411,0.23529411764705882,0.6,0.23529411764705882
None,6.0,83.0,24.0,2.0,25.0,13.0,7.0,0.0,0.96,0.15384615384615385,0.8823529411764706,0.11764705882352941,0.0,0.11764705882352941
None,6.0,94.0,24.0,0.0,25.0,11.0,7.0,0.0,0.96,0.0,1.0,0.0,0.0,0.0
GE,6.0,115.0,15.0,4.0,36.0,29.0,3.0,0.0,0.4166666666666667,0.13793103448275862,0.75,0.25,0.0,0.25
GE,6.0,103.0,23.0,4.0,32.0,19.0,6.0,1.0,0.71875,0.21052631578947367,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111
None,6.0,101.0,24.0,2.0,31.0,16.0,7.0,0.0,0.7741935483870968,0.125,0.9,0.1,0.0,0.1
GE,6.0,97.0,21.0,2.0,31.0,13.0,6.0,0.0,0.6774193548387096,0.15384615384615385,0.8823529411764706,0.11764705882352941,0.0,0.11764705882352941
None,6.0,86.0,24.0,1.0,23.0,12.0,7.0,0.0,1.0434782608695652,0.08333333333333333,0.9285714285714286,0.07142857142857142,0.0,0.07142857142857142
GE,6.0,93.0,21.0,8.0,27.0,18.0,5.0,2.0,0.7777777777777778,0.4444444444444444,0.7222222222222222,0.2777777777777778,0.0,0.2777777777777778
GE,6.0,107.0,17.0,4.0,33.0,22.0,4.0,1.0,0.5151515151515151,0.18181818181818182,0.8,0.2,0.5434782608695652,0.2
GE,6.0,100.0,21.0,1.0,30.0,15.0,5.0,0.0,0.7,0.06666666666666667,0.9411764705882353,0.058823529411764705,0.0,0.058823529411764705
None,6.0,88.0,24.0,3.0,25.0,14.0,7.0,0.0,0.96,0.21428571428571427,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111
None,6.0,96.0,24.0,4.0,33.0,21.0,7.0,0.0,0.7272727272727273,0.19047619047619047,0.9,0.1,0.0,0.1
GE,6.0,88.0,21.0,4.0,26.0,19.0,6.0,1.0,0.8076923076923077,0.21052631578947367,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222
None,6.0,85.0,24.0,1.0,24.0,11.0,7.0,0.0,1.0,0.09090909090909091,0.9285714285714286,0.07142857142857142,0.0,0.07142857142857142
None,6.0,86.0,24.0,3.0,23.0,13.0,7.0,0.0,1.0434782608695652,0.23076923076923078,0.8666666666666667,0.13333333333333333,0.0,0.13333333333333333
