winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
US,0.0,86.0,0.0,32.0,0.0,73.0,0.0,10.0,0.0,0.4383561643835616,0.0,1.0,0.0,1.0
None,0.0,81.0,0.0,32.0,0.0,69.0,0.0,9.0,0.0,0.463768115942029,0.0,1.0,0.0,1.0
None,0.0,79.0,0.0,34.0,0.0,57.0,0.0,9.0,0.0,0.5964912280701754,0.0,1.0,0.0,1.0
None,0.0,94.0,0.0,23.0,0.0,84.0,0.0,7.0,0.0,0.27380952380952384,0.0,1.0,0.0,1.0
None,0.0,90.0,0.0,28.0,0.0,80.0,0.0,7.0,0.0,0.35,0.0,1.0,0.0,1.0
None,0.0,77.0,0.0,28.0,0.0,66.0,0.0,9.0,0.0,0.42424242424242425,0.0,1.0,0.0,1.0
None,0.0,79.0,0.0,32.0,0.0,68.0,0.0,9.0,0.0,0.47058823529411764,0.0,1.0,0.0,1.0
None,0.0,76.0,0.0,31.0,0.0,65.0,0.0,10.0,0.0,0.47692307692307695,0.0,1.0,0.0,1.0
None,0.0,76.0,0.0,31.0,0.0,55.0,0.0,10.0,0.0,0.5636363636363636,0.0,1.0,0.0,1.0
None,0.0,83.0,0.0,31.0,0.0,72.0,0.0,9.0,0.0,0.4305555555555556,0.0,1.0,0.0,1.0
None,0.0,87.0,0.0,25.0,0.0,76.0,0.0,8.0,0.0,0.32894736842105265,0.0,1.0,0.0,1.0
GE,0.0,89.0,0.0,34.0,0.0,72.0,0.0,10.0,0.0,0.4722222222222222,0.0,1.0,0.0,1.0
None,0.0,97.0,0.0,23.0,0.0,83.0,0.0,6.0,0.0,0.27710843373493976,0.0,1.0,0.0,1.0
GE,0.0,47.0,0.0,27.0,0.0,36.0,0.0,8.0,0.0,0.75,0.0,1.0,0.0,1.0
None,0.0,88.0,0.0,31.0,0.0,71.0,0.0,9.0,0.0,0.43661971830985913,0.0,1.0,0.0,1.0
None,0.0,79.0,0.0,31.0,0.0,57.0,0.0,9.0,0.0,0.543859649122807,0.0,1.0,0.0,1.0
None,0.0,100.0,0.0,22.0,0.0,91.0,0.0,5.0,0.0,0.24175824175824176,0.0,1.0,0.0,1.0
None,0.0,80.0,0.0,29.0,0.0,66.0,0.0,9.0,0.0,0.4393939393939394,0.0,1.0,0.0,1.0
None,0.0,79.0,0.0,26.0,0.0,68.0,0.0,8.0,0.0,0.38235294117647056,0.0,1.0,0.0,1.0
None,0.0,99.0,0.0,24.0,0.0,89.0,0.0,7.0,0.0,0.2696629213483146,0.0,1.0,0.0,1.0
None,0.0,89.0,0.0,28.0,0.0,76.0,0.0,8.0,0.0,0.3684210526315789,0.0,1.0,0.0,1.0
None,0.0,70.0,0.0,33.0,0.0,52.0,0.0,10.0,0.0,0.6346153846153846,0.0,1.0,0.0,1.0
None,0.0,69.0,0.0,30.0,0.0,52.0,0.0,9.0,0.0,0.5769230769230769,0.0,1.0,0.0,1.0
None,0.0,88.0,0.0,28.0,0.0,79.0,0.0,8.0,0.0,0.35443037974683544,0.0,1.0,0.0,1.0
GE,0.0,77.0,0.0,30.0,0.0,64.0,0.0,9.0,0.0,0.46875,0.0,1.0,0.0,1.0
None,0.0,73.0,0.0,31.0,0.0,56.0,0.0,9.0,0.0,0.5535714285714286,0.0,1.0,0.0,1.0
None,0.0,77.0,0.0,29.0,0.0,66.0,0.0,8.0,0.0,0.4393939393939394,0.0,1.0,0.0,1.0
GE,0.0,83.0,0.0,31.0,0.0,63.0,0.0,9.0,0.0,0.49206349206349204,0.0,1.0,0.0,1.0
None,0.0,92.0,0.0,27.0,0.0,82.0,0.0,8.0,0.0,0.32926829268292684,0.0,1.0,0.0,1.0
