winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
IT,7.0,84.0,10.0,8.0,18.0,16.0,3.0,2.0,0.5555555555555556,0.5,0.46153846153846156,0.5384615384615384,0.410958904109589,0.5384615384615384
IT,7.0,89.0,6.0,12.0,15.0,12.0,1.0,3.0,0.4,1.0,0.4166666666666667,0.5833333333333334,0.3235294117647059,0.5833333333333334
IT,7.0,90.0,3.0,10.0,15.0,18.0,0.0,2.0,0.2,0.5555555555555556,0.2727272727272727,0.7272727272727273,0.3684210526315789,0.7272727272727273
IT,7.0,85.0,4.0,14.0,10.0,16.0,1.0,4.0,0.4,0.875,0.18181818181818182,0.8181818181818182,0.34285714285714286,0.8181818181818182
IT,7.0,91.0,8.0,6.0,15.0,20.0,1.0,1.0,0.5333333333333333,0.3,0.5833333333333334,0.4166666666666667,0.379746835443038,0.4166666666666667
IT,7.0,91.0,7.0,9.0,18.0,19.0,1.0,1.0,0.3888888888888889,0.47368421052631576,0.3333333333333333,0.6666666666666666,0.4155844155844156,0.6666666666666666
IT,7.0,90.0,10.0,7.0,16.0,17.0,3.0,1.0,0.625,0.4117647058823529,0.6,0.4,0.35384615384615387,0.4
IT,7.0,85.0,6.0,11.0,12.0,12.0,1.0,2.0,0.5,0.9166666666666666,0.45454545454545453,0.5454545454545454,0.2839506172839506,0.5454545454545454
IT,7.0,89.0,12.0,8.0,15.0,20.0,3.0,1.0,0.8,0.4,0.5833333333333334,0.4166666666666667,0.4,0.4166666666666667
IT,7.0,93.0,9.0,5.0,16.0,19.0,2.0,1.0,0.5625,0.2631578947368421,0.5555555555555556,0.4444444444444444,0.38202247191011235,0.4444444444444444
IT,7.0,93.0,6.0,5.0,15.0,13.0,1.0,1.0,0.4,0.38461538461538464,0.5,0.5,0.30337078651685395,0.5
IT,7.0,88.0,8.0,8.0,15.0,12.0,2.0,1.0,0.5333333333333333,0.6666666666666666,0.5,0.5,0.30952380952380953,0.5
IT,7.0,87.0,6.0,12.0,12.0,11.0,1.0,3.0,0.5,1.0909090909090908,0.45454545454545453,0.5454545454545454,0.27631578947368424,0.5454545454545454
IT,7.0,85.0,11.0,10.0,12.0,14.0,3.0,2.0,0.9166666666666666,0.7142857142857143,0.5333333333333333,0.4666666666666667,0.34375,0.4666666666666667
IT,7.0,87.0,10.0,8.0,17.0,20.0,3.0,1.0,0.5882352941176471,0.4,0.4166666666666667,0.5833333333333334,0.4657534246575342,0.5833333333333334
IT,7.0,86.0,8.0,12.0,13.0,12.0,1.0,3.0,0.6153846153846154,1.0,0.45454545454545453,0.5454545454545454,0.2972972972972973,0.5454545454545454
IT,7.0,84.0,5.0,7.0,14.0,16.0,1.0,2.0,0.35714285714285715,0.4375,0.2857142857142857,0.7142857142857143,0.3783783783783784,0.7142857142857143
IT,7.0,88.0,12.0,7.0,13.0,13.0,2.0,1.0,0.9230769230769231,0.5384615384615384,0.6,0.4,0.2835820895522388,0.4
IT,7.0,91.0,12.0,10.0,18.0,17.0,3.0,1.0,0.6666666666666666,0.5882352941176471,0.5555555555555556,0.4444444444444444,0.36363636363636365,0.4444444444444444
IT,7.0,91.0,7.0,6.0,18.0,16.0,1.0,1.0,0.3888888888888889,0.375,0.5555555555555556,0.4444444444444444,0.3793103448275862,0.4444444444444444
IT,7.0,90.0,2.0,10.0,14.0,15.0,0.0,2.0,0.14285714285714285,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.32558139534883723,0.7142857142857143
IT,7.0,93.0,8.0,9.0,21.0,26.0,2.0,0.0,0.38095238095238093,0.34615384615384615,0.42857142857142855,0.5714285714285714,0.5168539325842697,0.5714285714285714
IT,7.0,89.0,11.0,8.0,18.0,20.0,2.0,2.0,0.6111111111111112,0.4,0.5833333333333334,0.4166666666666667,0.4444444444444444,0.4166666666666667
IT,7.0,90.0,6.0,5.0,17.0,14.0,1.0,1.0,0.35294117647058826,0.35714285714285715,0.5555555555555556,0.4444444444444444,0.3488372093023256,0.4444444444444444
IT,7.0,88.0,7.0,9.0,14.0,15.0,1.0,2.0,0.5,0.6,0.36363636363636365,0.6363636363636364,0.3333333333333333,0.6363636363636364
IT,7.0,88.0,10.0,10.0,15.0,14.0,2.0,1.0,0.6666666666666666,0.7142857142857143,0.5,0.5,0.3333333333333333,0.5
IT,7.0,88.0,12.0,6.0,12.0,15.0,3.0,0.0,1.0,0.4,0.5555555555555556,0.4444444444444444,0.34375,0.4444444444444444
IT,7.0,84.0,8.0,12.0,11.0,10.0,1.0,3.0,0.7272727272727273,1.2,0.4166666666666667,0.5833333333333334,0.25,0.5833333333333334
