winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
None,0.0,72.0,12.0,23.0,20.0,24.0,4.0,6.0,0.6,0.9583333333333334,0.391304347826087,0.6086956521739131,0.7111111111111111,0.6086956521739131
None,0.0,85.0,4.0,22.0,26.0,37.0,1.0,6.0,0.15384615384615385,0.5945945945945946,0.2,0.8,0.8688524590163934,0.8
GE,0.0,81.0,8.0,24.0,30.0,31.0,3.0,7.0,0.26666666666666666,0.7741935483870968,0.3,0.7,0.8113207547169812,0.7
None,0.0,69.0,12.0,23.0,25.0,23.0,4.0,6.0,0.48,1.0,0.4090909090909091,0.5909090909090909,0.8372093023255814,0.5909090909090909
None,0.0,90.0,12.0,20.0,26.0,29.0,4.0,6.0,0.46153846153846156,0.6896551724137931,0.30434782608695654,0.6956521739130435,0.6727272727272727,0.6956521739130435
None,0.0,94.0,11.0,18.0,29.0,31.0,4.0,5.0,0.3793103448275862,0.5806451612903226,0.35,0.65,0.717391304347826,0.65
None,0.0,85.0,8.0,19.0,27.0,35.0,2.0,5.0,0.2962962962962963,0.5428571428571428,0.3157894736842105,0.6842105263157895,0.8409090909090909,0.6842105263157895
None,0.0,87.0,10.0,17.0,29.0,28.0,3.0,4.0,0.3448275862068966,0.6071428571428571,0.36363636363636365,0.6363636363636364,0.7884615384615384,0.6363636363636364
None,0.0,93.0,11.0,21.0,26.0,32.0,3.0,5.0,0.4230769230769231,0.65625,0.391304347826087,0.6086956521739131,0.7017543859649122,0.6086956521739131
None,0.0,96.0,9.0,18.0,29.0,32.0,3.0,4.0,0.3103448275862069,0.5625,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
GE,0.0,84.0,8.0,24.0,24.0,29.0,2.0,7.0,0.3333333333333333,0.8275862068965517,0.3181818181818182,0.6818181818181818,0.6578947368421053,0.6818181818181818
None,0.0,101.0,3.0,20.0,37.0,41.0,1.0,6.0,0.08108108108108109,0.4878048780487805,0.15789473684210525,0.8421052631578947,0.9076923076923077,0.8421052631578947
None,0.0,94.0,8.0,14.0,26.0,31.0,3.0,4.0,0.3076923076923077,0.45161290322580644,0.375,0.625,0.6976744186046512,0.625
None,0.0,90.0,7.0,22.0,29.0,31.0,2.0,6.0,0.2413793103448276,0.7096774193548387,0.3333333333333333,0.6666666666666666,0.8205128205128205,0.6666666666666666
GE,0.0,65.0,7.0,24.0,19.0,25.0,2.0,7.0,0.3684210526315789,0.96,0.2631578947368421,0.7368421052631579,0.8235294117647058,0.7368421052631579
GE,0.0,73.0,5.0,24.0,21.0,29.0,1.0,7.0,0.23809523809523808,0.8275862068965517,0.17647058823529413,0.8235294117647058,0.8222222222222222,0.8235294117647058
None,0.0,106.0,10.0,11.0,28.0,35.0,2.0,3.0,0.35714285714285715,0.3142857142857143,0.5,0.5,0.7727272727272727,0.5
None,0.0,93.0,10.0,17.0,21.0,31.0,3.0,4.0,0.47619047619047616,0.5483870967741935,0.4117647058823529,0.5882352941176471,0.5,0.5882352941176471
None,0.0,87.0,11.0,22.0,29.0,29.0,3.0,6.0,0.3793103448275862,0.7586206896551724,0.36363636363636365,0.6363636363636364,0.7941176470588235,0.6363636363636364
None,0.0,71.0,11.0,17.0,20.0,21.0,4.0,5.0,0.55,0.8095238095238095,0.38095238095238093,0.6190476190476191,0.6410256410256411,0.6190476190476191
None,0.0,96.0,12.0,19.0,31.0,33.0,4.0,5.0,0.3870967741935484,0.5757575757575758,0.3333333333333333,0.6666666666666666,0.6875,0.6666666666666666
GE,0.0,68.0,5.0,24.0,23.0,25.0,0.0,7.0,0.21739130434782608,0.96,0.21052631578947367,0.7894736842105263,0.8260869565217391,0.7894736842105263
None,0.0,103.0,8.0,18.0,35.0,35.0,2.0,5.0,0.22857142857142856,0.5142857142857142,0.3157894736842105,0.6842105263157895,0.7857142857142857,0.6842105263157895
None,0.0,95.0,12.0,21.0,22.0,32.0,4.0,5.0,0.5454545454545454,0.65625,0.32,0.68,0.65625,0.68
None,0.0,92.0,11.0,18.0,28.0,31.0,4.0,5.0,0.39285714285714285,0.5806451612903226,0.3888888888888889,0.6111111111111112,0.6842105263157895,0.6111111111111112
