winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
US,5.0,67.0,13.0,22.0,15.0,19.0,3.0,6.0,0.8666666666666667,1.1578947368421053,0.3684210526315789,0.631578947368421,0.5151515151515151,0.631578947368421
US,5.0,83.0,14.0,16.0,22.0,26.0,4.0,4.0,0.6363636363636364,0.6153846153846154,0.3888888888888889,0.6111111111111112,0.5853658536585366,0.6111111111111112
US,5.0,83.0,15.0,8.0,22.0,26.0,4.0,2.0,0.6818181818181818,0.3076923076923077,0.5714285714285714,0.42857142857142855,0.5853658536585366,0.42857142857142855
US,5.0,79.0,13.0,10.0,18.0,26.0,3.0,2.0,0.7222222222222222,0.38461538461538464,0.5555555555555556,0.4444444444444444,0.5641025641025641,0.4444444444444444
US,5.0,78.0,12.0,18.0,18.0,22.0,3.0,5.0,0.6666666666666666,0.8181818181818182,0.4117647058823529,0.5882352941176471,0.5194805194805194,0.5882352941176471
US,5.0,77.0,13.0,17.0,23.0,24.0,4.0,4.0,0.5652173913043478,0.7083333333333334,0.45,0.55,0.6133333333333333,0.55
US,5.0,70.0,15.0,13.0,14.0,15.0,4.0,3.0,1.0714285714285714,0.8666666666666667,0.42857142857142855,0.5714285714285714,0.44642857142857145,0.5714285714285714
US,7.0,77.0,16.0,11.0,17.0,22.0,5.0,3.0,0.9411764705882353,0.5,0.625,0.375,0.5277777777777778,0.375
US,5.0,81.0,15.0,9.0,23.0,25.0,4.0,2.0,0.6521739130434783,0.36,0.6666666666666666,0.3333333333333333,0.6363636363636364,0.3333333333333333
US,5.0,80.0,16.0,16.0,26.0,28.0,4.0,4.0,0.6153846153846154,0.5714285714285714,0.4583333333333333,0.5416666666666666,0.6835443037974683,0.5416666666666666
US,5.0,81.0,12.0,15.0,24.0,28.0,3.0,3.0,0.5,0.5357142857142857,0.45,0.55,0.65,0.55
US,5.0,75.0,15.0,15.0,19.0,26.0,4.0,3.0,0.7894736842105263,0.5769230769230769,0.47368421052631576,0.5263157894736842,0.6029411764705882,0.5263157894736842
US,5.0,78.0,16.0,13.0,23.0,22.0,5.0,3.0,0.6956521739130435,0.5909090909090909,0.6470588235294118,0.35294117647058826,0.6027397260273972,0.35294117647058826
US,5.0,79.0,14.0,19.0,22.0,26.0,3.0,5.0,0.6363636363636364,0.7307692307692307,0.44,0.56,0.6153846153846154,0.56
US,5.0,84.0,14.0,9.0,18.0,30.0,4.0,1.0,0.7777777777777778,0.3,0.5,0.5,0.5783132530120482,0.5
US,5.0,80.0,16.0,11.0,24.0,31.0,4.0,2.0,0.6666666666666666,0.3548387096774194,0.5294117647058824,0.47058823529411764,0.6962025316455697,0.47058823529411764
US,5.0,77.0,14.0,15.0,15.0,23.0,3.0,3.0,0.9333333333333333,0.6521739130434783,0.4444444444444444,0.5555555555555556,0.5,0.5555555555555556
US,5.0,74.0,16.0,12.0,21.0,22.0,5.0,3.0,0.7619047619047619,0.5454545454545454,0.5882352941176471,0.4117647058823529,0.6,0.4117647058823529
US,7.0,76.0,16.0,12.0,16.0,23.0,5.0,4.0,1.0,0.5217391304347826,0.4444444444444444,0.5555555555555556,0.5205479452054794,0.5555555555555556
US,5.0,72.0,20.0,11.0,22.0,18.0,6.0,3.0,0.9090909090909091,0.6111111111111112,0.5652173913043478,0.43478260869565216,0.5909090909090909,0.43478260869565216
US,5.0,85.0,8.0,15.0,24.0,29.0,2.0,3.0,0.3333333333333333,0.5172413793103449,0.3888888888888889,0.6111111111111112,0.6309523809523809,0.6111111111111112
US,5.0,66.0,14.0,16.0,8.0,19.0,4.0,5.0,1.75,0.8421052631578947,0.35714285714285715,0.6428571428571429,0.43333333333333335,0.6428571428571429
US,5.0,79.0,12.0,12.0,18.0,25.0,3.0,3.0,0.6666666666666666,0.48,0.4666666666666667,0.5333333333333333,0.5512820512820513,0.5333333333333333
US,7.0,74.0,15.0,18.0,23.0,25.0,4.0,4.0,0.6521739130434783,0.72,0.5238095238095238,0.47619047619047616,0.6575342465753424,0.47619047619047616
US,5.0,77.0,14.0,15.0,15.0,23.0,4.0,3.0,0.9333333333333333,0.6521739130434783,0.47058823529411764,0.5294117647058824,0.5138888888888888,0.5294117647058824
US,5.0,69.0,16.0,18.0,15.0,20.0,4.0,5.0,1.0666666666666667,0.9,0.5,0.5,0.5147058823529411,0.5
US,5.0,79.0,10.0,14.0,18.0,20.0,2.0,3.0,0.5555555555555556,0.7,0.5,0.5,0.48717948717948717,0.5
US,5.0,81.0,10.0,15.0,17.0,25.0,3.0,3.0,0.5882352941176471,0.6,0.3888888888888889,0.6111111111111112,0.525,0.6111111111111112
US,5.0,84.0,7.0,15.0,23.0,26.0,2.0,4.0,0.30434782608695654,0.5769230769230769,0.4375,0.5625,0.5903614457831325,0.5625
US,5.0,79.0,8.0,14.0,18.0,23.0,2.0,4.0,0.4444444444444444,0.6086956521739131,0.3333333333333333,0.6666666666666666,0.5256410256410257,0.6666666666666666
US,5.0,81.0,14.0,12.0,19.0,25.0,3.0,3.0,0.7368421052631579,0.48,0.5333333333333333,0.4666666666666667,0.55,0.4666666666666667
US,5.0,88.0,10.0,12.0,27.0,33.0,2.0,3.0,0.37037037037037035,0.36363636363636365,0.47058823529411764,0.5294117647058824,0.6867469879518072,0.5294117647058824
US,5.0,84.0,12.0,11.0,20.0,29.0,3.0,2.0,0.6,0.3793103448275862,0.5263157894736842,0.47368421052631576,0.5903614457831325,0.47368421052631576
US,5.0,77.0,15.0,6.0,17.0,20.0,4.0,2.0,0.8823529411764706,0.3,0.5714285714285714,0.42857142857142855,0.4931506849315068,0.42857142857142855
