winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
US,0.0,70.0,14.0,18.0,18.0,21.0,5.0,5.0,0.7777777777777778,0.8571428571428571,0.4090909090909091,0.5909090909090909,0.62,0.5909090909090909
None,0.0,88.0,11.0,12.0,11.0,22.0,4.0,3.0,1.0,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.3939393939393939,0.6666666666666666
GE,0.0,60.0,6.0,24.0,14.0,26.0,2.0,7.0,0.42857142857142855,0.9230769230769231,0.19047619047619047,0.8095238095238095,0.7380952380952381,0.8095238095238095
US,0.0,59.0,14.0,15.0,8.0,17.0,5.0,4.0,1.75,0.8823529411764706,0.375,0.625,0.5517241379310345,0.625
US,0.0,59.0,14.0,13.0,12.0,19.0,5.0,3.0,1.1666666666666667,0.6842105263157895,0.47058823529411764,0.5294117647058824,0.5777777777777777,0.5294117647058824
US,0.0,73.0,14.0,11.0,12.0,23.0,5.0,2.0,1.1666666666666667,0.4782608695652174,0.4375,0.5625,0.5,0.5625
US,0.0,81.0,14.0,15.0,15.0,22.0,5.0,4.0,0.9333333333333333,0.6818181818181818,0.4375,0.5625,0.4745762711864407,0.5625
US,0.0,60.0,14.0,12.0,18.0,18.0,5.0,4.0,0.7777777777777778,0.6666666666666666,0.5882352941176471,0.4117647058823529,0.6744186046511628,0.4117647058823529
None,0.0,94.0,11.0,20.0,20.0,32.0,2.0,6.0,0.55,0.625,0.3333333333333333,0.6666666666666666,0.5949367088607594,0.6666666666666666
None,0.0,83.0,11.0,14.0,10.0,29.0,4.0,4.0,1.1,0.4827586206896552,0.375,0.625,0.5,0.625
None,0.0,79.0,11.0,14.0,9.0,26.0,4.0,4.0,1.2222222222222223,0.5384615384615384,0.4375,0.5625,0.5098039215686274,0.5625
GE,0.0,75.0,7.0,24.0,22.0,32.0,2.0,7.0,0.3181818181818182,0.75,0.19047619047619047,0.8095238095238095,0.8135593220338984,0.8095238095238095
None,0.0,90.0,11.0,17.0,26.0,34.0,3.0,4.0,0.4230769230769231,0.5,0.5,0.5,0.7333333333333333,0.5
None,0.0,92.0,10.0,18.0,21.0,31.0,3.0,4.0,0.47619047619047616,0.5806451612903226,0.4375,0.5625,0.6075949367088608,0.5625
None,0.0,90.0,12.0,15.0,14.0,28.0,4.0,3.0,0.8571428571428571,0.5357142857142857,0.4,0.6,0.49333333333333335,0.6
None,0.0,67.0,13.0,21.0,15.0,21.0,4.0,6.0,0.8666666666666667,1.0,0.45454545454545453,0.5454545454545454,0.6086956521739131,0.5454545454545454
US,0.0,69.0,14.0,17.0,22.0,25.0,5.0,5.0,0.6363636363636364,0.68,0.5238095238095238,0.47619047619047616,0.7777777777777778,0.47619047619047616
US,0.0,74.0,14.0,16.0,15.0,22.0,5.0,5.0,0.9333333333333333,0.7272727272727273,0.42105263157894735,0.5789473684210527,0.5344827586206896,0.5789473684210527
US,0.0,67.0,14.0,15.0,18.0,18.0,5.0,3.0,0.7777777777777778,0.8333333333333334,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.5294117647058824
None,0.0,81.0,8.0,20.0,18.0,29.0,3.0,6.0,0.4444444444444444,0.6896551724137931,0.3,0.7,0.6363636363636364,0.7
US,0.0,74.0,14.0,12.0,19.0,22.0,5.0,2.0,0.7368421052631579,0.5454545454545454,0.47058823529411764,0.5294117647058824,0.603448275862069,0.5294117647058824
US,0.0,64.0,14.0,23.0,17.0,26.0,5.0,6.0,0.8235294117647058,0.8846153846153846,0.47619047619047616,0.5238095238095238,0.7708333333333334,0.5238095238095238
None,0.0,95.0,11.0,18.0,22.0,33.0,3.0,4.0,0.5,0.5454545454545454,0.35,0.65,0.625,0.65
None,0.0,88.0,6.0,20.0,13.0,30.0,2.0,6.0,0.46153846153846156,0.6666666666666666,0.2,0.8,0.5138888888888888,0.8
None,0.0,82.0,11.0,19.0,19.0,24.0,4.0,5.0,0.5789473684210527,0.7916666666666666,0.3157894736842105,0.6842105263157895,0.5862068965517241,0.6842105263157895
US,0.0,69.0,14.0,17.0,18.0,20.0,5.0,4.0,0.7777777777777778,0.85,0.4444444444444444,0.5555555555555556,0.6,0.5555555555555556
None,0.0,68.0,13.0,17.0,15.0,18.0,4.0,5.0,0.8666666666666667,0.9444444444444444,0.47368421052631576,0.5263157894736842,0.5294117647058824,0.5263157894736842
None,0.0,74.0,13.0,20.0,19.0,24.0,4.0,5.0,0.6842105263157895,0.8333333333333334,0.375,0.625,0.6440677966101694,0.625
None,0.0,99.0,8.0,16.0,23.0,34.0,3.0,3.0,0.34782608695652173,0.47058823529411764,0.29411764705882354,0.7058823529411765,0.6219512195121951,0.7058823529411765
None,0.0,89.0,11.0,16.0,18.0,28.0,4.0,3.0,0.6111111111111112,0.5714285714285714,0.375,0.625,0.5652173913043478,0.625
None,0.0,89.0,11.0,10.0,9.0,25.0,4.0,2.0,1.2222222222222223,0.4,0.38461538461538464,0.6153846153846154,0.5641025641025641,0.6153846153846154
US,0.0,79.0,14.0,15.0,21.0,22.0,5.0,4.0,0.6666666666666666,0.6818181818181818,0.47368421052631576,0.5263157894736842,0.6071428571428571,0.5263157894736842
US,0.0,75.0,14.0,15.0,29.0,23.0,5.0,4.0,0.4827586206896552,0.6521739130434783,0.5789473684210527,0.42105263157894735,0.7931034482758621,0.42105263157894735
GE,0.0,55.0,5.0,24.0,10.0,21.0,1.0,7.0,0.5,1.1428571428571428,0.17647058823529413,0.8235294117647058,0.6410256410256411,0.8235294117647058
None,0.0,80.0,13.0,19.0,31.0,30.0,4.0,5.0,0.41935483870967744,0.6333333333333333,0.4,0.6,0.8636363636363636,0.6
None,0.0,90.0,9.0,18.0,16.0,28.0,3.0,5.0,0.5625,0.6428571428571429,0.3333333333333333,0.6666666666666666,0.52,0.6666666666666666
US,0.0,98.0,14.0,11.0,27.0,33.0,5.0,1.0,0.5185185185185185,0.3333333333333333,0.55,0.45,0.6585365853658537,0.45
None,0.0,81.0,13.0,20.0,30.0,29.0,4.0,6.0,0.43333333333333335,0.6896551724137931,0.4166666666666667,0.5833333333333334,0.8181818181818182,0.5833333333333334
None,0.0,88.0,12.0,16.0,35.0,32.0,4.0,5.0,0.34285714285714286,0.5,0.42857142857142855,0.5714285714285714,0.8472222222222222,0.5714285714285714
US,0.0,73.0,14.0,17.0,16.0,21.0,5.0,5.0,0.875,0.8095238095238095,0.38095238095238093,0.6190476190476191,0.5686274509803921,0.6190476190476191
US,0.0,47.0,14.0,13.0,11.0,12.0,5.0,4.0,1.2727272727272727,1.0833333333333333,0.5294117647058824,0.47058823529411764,0.5625,0.47058823529411764
US,0.0,83.0,14.0,14.0,21.0,23.0,5.0,4.0,0.6666666666666666,0.6086956521739131,0.5263157894736842,0.47368421052631576,0.5892857142857143,0.47368421052631576
GE,0.0,71.0,10.0,24.0,14.0,25.0,3.0,7.0,0.7142857142857143,0.96,0.2727272727272727,0.7272727272727273,0.6,0.7272727272727273
None,0.0,95.0,11.0,14.0,19.0,30.0,4.0,4.0,0.5789473684210527,0.4666666666666667,0.3888888888888889,0.6111111111111112,0.5797101449275363,0.6111111111111112
None,0.0,84.0,11.0,14.0,24.0,28.0,4.0,3.0,0.4583333333333333,0.5,0.5,0.5,0.8958333333333334,0.5
None,0.0,88.0,11.0,18.0,22.0,29.0,3.0,5.0,0.5,0.6206896551724138,0.2631578947368421,0.7368421052631579,0.6301369863013698,0.7368421052631579
None,0.0,90.0,9.0,19.0,18.0,29.0,3.0,5.0,0.5,0.6551724137931034,0.3,0.7,0.5540540540540541,0.7
