experiment_id,episode_id,winner,final_vp,steps,rl_damage,enemy_damage
exp_hrl_v1,0,US,12,79,0,0
exp_hrl_v1,1,US,0,37,0,0
exp_hrl_v1,2,US,0,34,0,0
exp_hrl_v1,3,US,0,27,0,0
exp_hrl_v1,4,US,4,77,0,0
exp_hrl_v1,5,US,0,64,0,0
exp_hrl_v1,6,US,12,73,0,0
exp_hrl_v1,7,US,0,35,0,0
exp_hrl_v1,8,US,4,55,0,0
exp_hrl_v1,9,US,20,97,0,0
exp_hrl_v1,10,US,12,77,0,0
exp_hrl_v1,11,US,4,80,0,0
exp_hrl_v1,12,US,12,74,0,0
exp_hrl_v1,13,US,12,85,0,0
exp_hrl_v1,14,US,0,35,0,0
exp_hrl_v1,15,US,8,67,0,0
exp_hrl_v1,16,US,8,61,0,0
exp_hrl_v1,17,US,0,36,0,0
exp_hrl_v1,18,US,0,26,0,0
exp_hrl_v1,19,US,4,82,0,0
exp_hrl_v1,20,US,0,74,0,0
exp_hrl_v1,21,US,8,78,0,0
exp_hrl_v1,22,US,4,64,0,0
exp_hrl_v1,23,US,8,75,0,0
exp_hrl_v1,24,US,12,86,0,0
exp_hrl_v1,25,US,8,65,0,0
exp_hrl_v1,26,US,0,33,0,0
exp_hrl_v1,27,US,4,57,0,0
exp_hrl_v1,28,US,0,63,0,0
exp_hrl_v1,29,US,0,43,0,0
exp_hrl_v1,30,US,0,47,0,0
exp_hrl_v1,31,US,0,34,0,0
exp_hrl_v1,32,US,16,93,0,0
exp_hrl_v1,33,US,0,72,0,0
exp_hrl_v1,34,US,0,49,0,0
exp_hrl_v1,35,US,0,89,0,0
exp_hrl_v1,36,US,0,45,0,0
exp_hrl_v1,37,US,8,68,0,0
exp_hrl_v1,38,US,4,67,0,0
exp_hrl_v1,39,US,12,74,0,0
exp_hrl_v1,40,US,8,52,0,0
exp_hrl_v1,41,US,16,87,0,0
exp_hrl_v1,42,US,0,39,0,0
exp_hrl_v1,43,US,0,38,0,0
